Bentonite,thousand metric tons,2013,4500
"Boron, mine output, B2O3 equivalent",metric tons,2013,114000
Bromine,metric tons,2013,110000
Celestite,metric tons,2013,76000
"Cement, hydraulic4",million metric tons,2013,2411
"Clays, kaolin",thousand metric tons,2013,3300
Diatomite,metric tons,2013,310000
Dolomite,thousand metric tons,2013,8330
Feldspar,thousand metric tons,2013,3500
Fluorspar,thousand metric tons,2013,4800
Graphite: Aphanitic,metric tons,2013,140000
Graphite: Flake,metric tons,2013,700000
Gypsum: Natural,thousand metric tons,2013,28000
Gypsum: Byproduct,thousand metric tons,2013,184000
Lime,thousand metric tons,2013,220000
"Lithium: Mine output, Li content",metric tons,2013,2100
Lithium: Lithium carbonate,metric tons,2013,38000
Lithium: Lithium hydroxide,metric tons,2013,22000
Lithium: Lithium metal,metric tons,2013,2300
Magnesite,thousand metric tons,2013,17000
"Mica, natural",metric tons,2013,41000
"Nitrogen, N content of ammonia",thousand metric tons,2013,48326
"Phosphate rock, P2O5 equivalent",thousand metric tons,2013,33500
"Potash, marketable, K2O equivalent",thousand metric tons,2013,5300
"Rare earths, rare-earth oxide equivalent",metric tons,2013,95000
Salt,thousand metric tons,2013,73676
Sodium compounds: Caustic soda,thousand metric tons,2013,29270
Sodium compounds: Mirabilite,thousand metric tons,2013,6500
"Sodium compounds: Soda ash, natural and synthetic",thousand metric tons,2013,24320
"Sulfur, S content: Byproduct, domestic: Nonferrous, metallurgy",thousand metric tons,2013,3560
"Sulfur, S content: Byproduct, domestic: Petroleum and coal chemical industry",thousand metric tons,2013,5190
"Sulfur, S content: Pyrite",thousand metric tons,2013,6150
Talc and related materials,thousand metric tons,2013,1970
Coal: Anthracite,thousand metric tons,2013,451000
Coal: Bituminous,thousand metric tons,2013,3220000
Coal: Lignite,thousand metric tons,2013,300000
"Coke, all types",thousand metric tons,2013,481794
"Gas, natural, gross",billion cubic meters,2013,121
"Petroleum: Crude, including crude from oil shale",million 42-gallon barrels,2013,1520
Petroleum: Refinery products,million 42-gallon barrels,2013,3500
"Uranium, mine output, U content",metric tons,2013,1450
"Aluminum: Bauxite, gross weight",thousand metric tons,2014,59200
Aluminum: Alumina,thousand metric tons,2014,51300
Aluminum: Metal: Primary,thousand metric tons,2014,28300
Aluminum: Metal: Secondary,thousand metric tons,2014,5650
"Antimony: Mine, Sb content",metric tons,2014,123000
Antimony: Metal,metric tons,2014,235000
"Bismuth: Mine output, Bi content",metric tons,2014,1500
Bismuth: Metal,metric tons,2014,15900
"Cadmium, smelter",metric tons,2014,8200
"Chromite, gross weight",thousand metric tons,2014,24
"Cobalt: Mine output, Co content",metric tons,2014,1600
Cobalt: Refined ,metric tons,2014,39300
"Copper: Mine output, Cu content",thousand metric tons,2014,1740
"Copper: Metal: Smelter, primary",thousand metric tons,2014,5170
Copper: Metal: Refined: Primary,thousand metric tons,2014,4820
Copper: Metal: Refined: Secondary,thousand metric tons,2014,2830
Germanium,metric tons,2014,120
"Gold, mine output, Au content",metric tons,2014,451
"Indium, primary and secondary",metric tons,2014,460
"Iron and steel: Iron ore: Crude ore, gross weight",thousand metric tons,2014,1510000
"Iron and steel: Iron ore: Usable ore, gross weight",thousand metric tons,2014,410000
"Iron and steel: Iron ore: Usable ore, Fe content",thousand metric tons,2014,254000
Iron and steel: Pig iron,thousand metric tons,2014,713740
Iron and steel: Ferroalloys,thousand metric tons,2014,37900
Iron and steel: Steel: Crude,thousand metric tons,2014,822300
Iron and steel: Steel: Rolled,thousand metric tons,2014,1125130
"Lead: Mine output, Pb content",thousand metric tons,2014,2610
"Lead: Metal: Smelter, primary",thousand metric tons,2014,3050
Lead: Metal: Refined: Primary,thousand metric tons,2014,3210
Lead: Metal: Refined: Secondary,thousand metric tons,2014,1530
"Magnesium, metal",metric tons,2014,874000
Manganese: Ore: Gross weight,thousand metric tons,2014,15500
Manganese: Ore: Mn content,thousand metric tons,2014,2600
Manganese: Metal,thousand metric tons,2014,1060
"Mercury, mine output, Hg content",metric tons,2014,2260
"Molybdenum, mine output, Mo content",metric tons,2014,129000
"Nickel: Mine output, Ni content",metric tons,2014,98400
Nickel: Matte,metric tons,2014,160000
Nickel: Smelter,metric tons,2014,247000
"Niobium and tantalum, mine output: Nb2O5 content",metric tons,2014,28
"Niobium and tantalum, mine output: Ta2O5 content",metric tons,2014,75
"Palladium, mine output, Pd content",kilograms,2014,850
"Platinum, mine output, Pt content",kilograms,2014,1600
"Rhenium, Re content in NH4ReO4",kilograms,2014,2350
"Silicon, metal",thousand metric tons,2014,1710
"Silver, mine output, Ag content",metric tons,2014,3670
"Tin: Mine output, Sn content",metric tons,2014,10200
Tin: Metal,metric tons,2014,187000
"Titanium: Ilmenite, TiO2 equivalent ",metric tons,2014,1900000
Titanium: Sponge,metric tons,2014,68200
"Tungsten, mine output, W content",metric tons,2014,71000
"Vanadium, V2O5 in vanadiferous slag product",metric tons,2014,85000
"Zinc: Mine output, Zn content",thousand metric tons,2014,5120
Zinc: Refined: Primary,thousand metric tons,2014,5610
Zinc: Refined: Secondary,thousand metric tons,2014,170
Asbestos,metric tons,2014,250000
Barite,thousand metric tons,2014,5130
Bentonite,thousand metric tons,2014,5000
"Boron, mine output, B2O3 equivalent",metric tons,2014,97000
Bromine,metric tons,2014,75500
Celestite,metric tons,2014,50600
"Cement, hydraulic4",million metric tons,2014,2492
"Clays, kaolin",thousand metric tons,2014,3200
Diatomite,metric tons,2014,379000
Dolomite,thousand metric tons,2014,9520
Feldspar,thousand metric tons,2014,3670
Fluorspar,thousand metric tons,2014,4310
Graphite: Aphanitic,metric tons,2014,250000
Graphite: Flake,metric tons,2014,650000
Gypsum: Natural,thousand metric tons,2014,20000
Gypsum: Byproduct,thousand metric tons,2014,192000
Lime,thousand metric tons,2014,230000
"Lithium: Mine output, Li content",metric tons,2014,1900
Lithium: Lithium carbonate,metric tons,2014,41600
Lithium: Lithium hydroxide,metric tons,2014,21000
Lithium: Lithium metal,metric tons,2014,2650
Magnesite,thousand metric tons,2014,16000
"Mica, natural",metric tons,2014,25600
"Nitrogen, N content of ammonia",thousand metric tons,2014,45642
"Phosphate rock, P2O5 equivalent",thousand metric tons,2014,36000
"Potash, marketable, K2O equivalent",thousand metric tons,2014,6110
"Rare earths, rare-earth oxide equivalent",metric tons,2014,105000
Salt,thousand metric tons,2014,70497
Sodium compounds: Caustic soda,thousand metric tons,2014,30640
Sodium compounds: Mirabilite,thousand metric tons,2014,5750
"Sodium compounds: Soda ash, natural and synthetic",thousand metric tons,2014,25260
"Sulfur, S content: Byproduct, domestic: Nonferrous, metallurgy",thousand metric tons,2014,4140
"Sulfur, S content: Byproduct, domestic: Petroleum and coal chemical industry",thousand metric tons,2014,6020
"Sulfur, S content: Pyrite",thousand metric tons,2014,7140
Talc and related materials,thousand metric tons,2014,1870
Coal: Anthracite,thousand metric tons,2014,422000
Coal: Bituminous,thousand metric tons,2014,3190000
Coal: Lignite,thousand metric tons,2014,272000
"Coke, all types",thousand metric tons,2014,479809
"Gas, natural, gross",billion cubic meters,2014,130
"Petroleum: Crude, including crude from oil shale",million 42-gallon barrels,2014,1530
Petroleum: Refinery products,million 42-gallon barrels,2014,3710
"Uranium, mine output, U content",metric tons,2014,1500
"Aluminum: Bauxite, gross weight",thousand metric tons,2015,65000
Aluminum: Alumina,thousand metric tons,2015,59000
Aluminum: Metal: Primary,thousand metric tons,2015,31400
Aluminum: Metal: Secondary,thousand metric tons,2015,6000
"Antimony: Mine, Sb content",metric tons,2015,111000
Antimony: Metal,metric tons,2015,201000
"Bismuth: Mine output, Bi content",metric tons,2015,1400
Bismuth: Metal,metric tons,2015,15000
"Cadmium, smelter",metric tons,2015,7600
"Chromite, gross weight",thousand metric tons,2015,20
"Cobalt: Mine output, Co content",metric tons,2015,1600
Cobalt: Refined ,metric tons,2015,48700
"Copper: Mine output, Cu content",thousand metric tons,2015,1670
"Copper: Metal: Smelter, primary",thousand metric tons,2015,5500
Copper: Metal: Refined: Primary,thousand metric tons,2015,4960
Copper: Metal: Refined: Secondary,thousand metric tons,2015,3000
Germanium,metric tons,2015,127
"Gold, mine output, Au content",metric tons,2015,450
"Indium, primary and secondary",metric tons,2015,350
"Iron and steel: Iron ore: Crude ore, gross weight",thousand metric tons,2015,1380000
"Iron and steel: Iron ore: Usable ore, gross weight",thousand metric tons,2015,375000
"Iron and steel: Iron ore: Usable ore, Fe content",thousand metric tons,2015,232000
Iron and steel: Pig iron,thousand metric tons,2015,691410
Iron and steel: Ferroalloys,thousand metric tons,2015,36000
Iron and steel: Steel: Crude,thousand metric tons,2015,803820
Iron and steel: Steel: Rolled,thousand metric tons,2015,1123500
"Lead: Mine output, Pb content",thousand metric tons,2015,2340
"Lead: Metal: Smelter, primary",thousand metric tons,2015,3050
Lead: Metal: Refined: Primary,thousand metric tons,2015,3080
Lead: Metal: Refined: Secondary,thousand metric tons,2015,1620
"Magnesium, metal",metric tons,2015,852000
Manganese: Ore: Gross weight,thousand metric tons,2015,13000
Manganese: Ore: Mn content,thousand metric tons,2015,2100
Manganese: Metal,thousand metric tons,2015,930
"Mercury, mine output, Hg content",metric tons,2015,2800
"Molybdenum, mine output, Mo content",metric tons,2015,135000
"Nickel: Mine output, Ni content",metric tons,2015,92900
Nickel: Matte,metric tons,2015,160000
Nickel: Smelter,metric tons,2015,232000
"Niobium and tantalum, mine output: Nb2O5 content",metric tons,2015,43
"Niobium and tantalum, mine output: Ta2O5 content",metric tons,2015,116
"Palladium, mine output, Pd content",kilograms,2015,1200
"Platinum, mine output, Pt content",kilograms,2015,2300
"Rhenium, Re content in NH4ReO4",kilograms,2015,2500
"Silicon, metal",thousand metric tons,2015,1950
"Silver, mine output, Ag content",metric tons,2015,3390
"Tin: Mine output, Sn content",metric tons,2015,11000
Tin: Metal,metric tons,2015,167000
"Titanium: Ilmenite, TiO2 equivalent ",metric tons,2015,2100000
Titanium: Sponge,metric tons,2015,54800
"Tungsten, mine output, W content",metric tons,2015,73000
"Vanadium, V2O5 in vanadiferous slag product",metric tons,2015,80000
"Zinc: Mine output, Zn content",thousand metric tons,2015,4750
Zinc: Refined: Primary,thousand metric tons,2015,5680
Zinc: Refined: Secondary,thousand metric tons,2015,180
Asbestos,metric tons,2015,210000
Barite,thousand metric tons,2015,5000
Bentonite,thousand metric tons,2015,5600
"Boron, mine output, B2O3 equivalent",metric tons,2015,90000
Bromine,metric tons,2015,60000
Celestite,metric tons,2015,50000
"Cement, hydraulic4",million metric tons,2015,2359
"Clays, kaolin",thousand metric tons,2015,3200
Diatomite,metric tons,2015,350000
Dolomite,thousand metric tons,2015,10600
Feldspar,thousand metric tons,2015,3500
Fluorspar,thousand metric tons,2015,3820
Graphite: Aphanitic,metric tons,2015,200000
Graphite: Flake,metric tons,2015,660000
Gypsum: Natural,thousand metric tons,2015,20000
Gypsum: Byproduct,thousand metric tons,2015,200000
Lime,thousand metric tons,2015,220000
"Lithium: Mine output, Li content",metric tons,2015,2000
Lithium: Lithium carbonate,metric tons,2015,42000
Lithium: Lithium hydroxide,metric tons,2015,22000
Lithium: Lithium metal,metric tons,2015,2680
Magnesite,thousand metric tons,2015,17000
"Mica, natural",metric tons,2015,25000
"Nitrogen, N content of ammonia",thousand metric tons,2015,49706
"Phosphate rock, P2O5 equivalent",thousand metric tons,2015,42600
"Potash, marketable, K2O equivalent",thousand metric tons,2015,5710
"Rare earths, rare-earth oxide equivalent",metric tons,2015,105000
Salt,thousand metric tons,2015,66655
Sodium compounds: Caustic soda,thousand metric tons,2015,30210
Sodium compounds: Mirabilite,thousand metric tons,2015,5700
